ID,question,Figure,LaTeX question,solution,mathConcept1,mathConcept2,mathConcept3,Difficulty,Grade,Resource
1,An orchestra of 120 players takes 40 minutes to play Beethoven's 9th Symphony. How long would it take for 60 players to play the symphony? Let P be number of players and T the time playing. ,N,An orchestra of 120 players takes 40 minutes to play Beethoven's 9th Symphony. How long would it take for 60 players to play the symphony? Let $P$ be number of players and $T$ the time playing. ,It will still take 40 minutes for 60 players to perform it. ,Arithmetic and Algebra,Algebraic expressions; Manipulating algebraic expressions;  Analyzing situations using equations or inequalities ,Constructs an algebraic expression using a register (type) of representation; Interprets an algebraic expression in light of the context;,,,Quora 7Y ago 
2,"A plane with 150 passengers flies in 4 hours to California, and please answer how long the plane will need when it transports 300 people. ",N,"A plane with 150 passengers flies in 4 hours to California, and please answer how long the plane will need when it transports 300 people. ","If we assume the plane's max capacity is only 150 passengers, then the plane would have to do two trips plus one return trips. It will be 4+4+4 = 12 hours. ",Arithmetic and Algebra,Algebraic expressions; Manipulating algebraic expressions;  Analyzing situations using equations or inequalities ,Constructs an algebraic expression using a register (type) of representation; Interprets an algebraic expression in light of the context;,N/A,9~12,Quora 2Y ago 
3,There are 49 dogs signed up to compete in the dog show. There are 36 more small dogs than large dogs signed up to compete. How many small dogs are signed up to compete? ,N,There are 49 dogs signed up to compete in the dog show. There are 36 more small dogs than large dogs signed up to compete. How many small dogs are signed up to compete? ,"Let $x$ represent the number of large dogs. Since there are 36 more small dogs than large dogts, the number of small dogs is $x + 36$. The total number of dog is 49, so we set up the equation: 
\[
x + (x + 36) = 49
\]
Simplifying:
\[
2x + 36 = 49
\]
Subtracting 36 from both sides:
\[
2x = 13
\]
Dividing by 2:
\[
x = 6.5
\]
There are 6.5 large dogs and 42.5 small dogs. ",Arithmetic and Algebra,,,N/A,,X 2024
4,Now 7 men have 7 wives. Each man and each wife have 7 children. What's the total number of people? ,N,7 men have 7 wives. Each man and each wife have 7 children. What's the total number of people? ,"The total number of people should be the sum of numbers of men, wives, and children. Because we know that there are 7 men and 7 wives. Now we have 14 people in total. Each pair of man and wife have 7 children, and there are 7 pairs based on assumption. So, 7 multiplied by 7, and there are 49 children. The total number of people equals to 49 + 14 = 63. ",Arithmetic and Algebra,,,N/A,,X 2025
5,"Infinitely many people are about to play this game: they will each get a black or a white hat placed on their heads simultaneously, and each will be able to see everyone else's hat but not their own. They cannot communicate in any shape or form once the hats are placed on their heads - no winks, nudges or smiles.

Then, at the sound of the gong, everyone needs to simultaneously announce the color of their own hat, at the exact same time, and with the possible exception of finitely many people, all of them must get it right.",N,"Infinitely many people are about to play this game: they will each get a black or a white hat placed on their heads simultaneously, and each will be able to see everyone else's hat but not their own. They cannot communicate in any shape or form once the hats are placed on their heads - no winks, nudges or smiles.

Then, at the sound of the gong, everyone needs to simultaneously announce the color of their own hat, at the exact same time, and with the possible exception of finitely many people, all of them must get it right.",,,,,Seems very difficult ,https://www.quora.com/What-is-the-most-absurd-math-problem-youve-ever-seen,Quora 
6,A farmer has 60 meters of fencing to create a four-sided enclosure. He wants a rectangular shape that uses all the fencing. What is the maximum area he can enclose? The corners do not ened to be right angles. ,N,A farmer has 60 meters of fencing to create a four-sided enclosure. He wants a rectangular shape that uses all the fencing. What is the maximum area he can enclose? The corners do not ened to be right angles. ,"\textbf{If truly rectangular:} The maximum area with a fixed perimeter \( P = 60 \). When the rectangle is a square, the area is the largest. So, each side is:

\[
\frac{60}{4} = 15 \text{ m}, \quad \frac{60}{4} = 15 \text{ m},
\]
and the area is:
\[
\text{Area} = 15 \times 15 = 225 \text{ m}^2.
\]
\textbf{If any parallelogram:} The maximum area is also formed by a rectangle (a special case of a parallelogram) with sides 15 m each. So, the area remains:
\[
225 \text{ m}^2.
\]",Geometry and Algebra,,,N/A,9~12,GPT 
7,"A fractory produces chairs and tables. If the total cost of production is $5000 and each chair costs $20 to make, while each table costs $50. How much chairs and tables were produced? ",N,"A fractory produces chairs and tables. If the total cost of production is $5000 and each chair costs $20 to make, while each table costs $50. How much chairs and tables were produced? ","Even there are two unknowns but only one equation given and it is impossible to determine the exact number of chairs and tables by solving the equation. However, we can create an inequation to solve and finde what values fulfill a condition stated in the form of this inequation. The inequation would be:
\[
20x + 50y \leq 5000
\]
The result will be a range for the variables $x$ and $y$. Both $x$ and $y$ are positive integars based on the context the math problem.  The results will be: 
\[
0 \leq x \leq 250, \quad 0 \leq y \leq 100
\]",,,,N/A,9~12,GPT 
8,"Rose is twice as old as Mark was when Rose was as old as Mark is now. If Mark is 20, how old is Rose? ",N,"Rose is twice as old as Mark was when Rose was as old as Mark is now. If Mark is 20, how old is Rose? ",The problem is over complex and confusing and might not be solvable? ,,,,N/A,9~12,GPT 
9,"A student has test scores of 80, 85, 90 in math. The teacher says, the average score of your last two tests is 88, and the average score of your last three tests is 87. What is the score of the last test?  ",N,"A student has test scores of 80, 85, 90 in math. The teacher says, the average score of your last two tests is 88, and the average score of your last three tests is 87. What is the score of the last test?  ","No able to sovle it. If the fourth score is x, then (90+x)/2 = 88, and (85+90+x)/3 = 87. The variable x is not solvable. ",,,,N/A,9~12,GPT 
10,Jan and Sam paint a fence together. Jan is 9 year-old and Sam is 12 year-old. John can paint it alone in 4 hours. Jan can paint it alone in 9 hours. Sam can paint it alone in 12 hours. How long does it take them to paint it together if Jan and Sam both work at the same time? ,N,Jan and Sam paint a fence together. Jan is 9 year-old and Sam is 12 year-old. John can paint it alone in 4 hours. Jan can paint it alone in 9 hours. Sam can paint it alone in 12 hours. How long does it take them to paint it together if Jan and Sam both work at the same time? ,"The work rate of Jan is: 
\[\frac{1}{9} 
\]
The work rate of Sam is: 
\[\frac{1}{12} 
\]
When they work together, their combined work rate is:
\[ \quad \frac{1}{9} + \frac{1}{12}
\]

\[
\text{To compute this sum, find the least common denominator (LCD), which is 36:}
\]

\[
\frac{4}{36} + \frac{3}{36} = \frac{7}{36}
\]

\[
\text{Thus, the time required to complete the fence together is:}
\]

\[
\frac{1}{\frac{7}{36}} = \frac{36}{7} \text{ hours}
\]",,,,N/A,9~12,GPT 
